Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Abbeville 80100; 2 720
Ablon-sur-Seine 94480;  400
Achères 78260; 2 190
Achicourt 62217;  680
Acigné 35690;  490
Agde 34300; 5 100
Agen 47000; 4 330
Aiffres 79230;  340
Aigues-Mortes 30220; 1 000
Aimargues 30470;  560
Aire-sur-l'Adour 40800;  550
Aire-sur-la-Lys 62120;  880
Aix-en-Provence 13090; 13 140
Aixe-sur-Vienne 87700;  390
Aix-les-Bains 73100; 2 950
Aizenay 85190;  720
Ajaccio 20000; 4 310
Albert 80300; 1 030
Albertville 73200; 1 570
Albi 81000; 5 150
Alençon 61000; 3 030
Alès 30100; 5 420
Alfortville 94140; 4 550
Algrange 57440;  630
Allauch 13190; 1 340
Allonnes 72700; 1 280
Altkirch 68130;  520
Ambarès-et-Lagrave 33440; 1 700
Ambazac 87240;  380
Ambérieu-en-Bugey 01500; 1 700
Ambert 63600;  550
Ambilly 74100;  820
Amboise 37400; 1 430
Amiens 80000; 16 580
Amilly 45200; 1 190
Amnéville 57360; 1 040
Amplepuis 69550;  390
Ancenis 44150;  970
Andernos-les-Bains 33510;  910
Andrésy 78570;  860
Andrézieux-Bouthéon 42160;  930
Angers 49000; 18 420
Anglet 64600; 4 110
Angoulême 16000; 6 270
Aniche 59580; 1 390
Annecy 74000; 11 210
Annemasse 74100; 5 010
Annezin 62232;  540
Annoeullin 59112;  760
Annonay 07100; 2 170
Anse 69480;  580
Anse-Bertrand 97121;  650
Antibes 06600; 8 360
Antony 92160; 4 280
Anzin 59410; 2 070
Apatou 97317;  440
Apt 84400; 1 470
Arcachon 33120;  930
Arcueil 94110; 2 080
Arès 33740;  510
Argelès-sur-Mer 66700; 1 900
Argentan 61200; 1 350
Argenteuil 95100; 11 770
Argenton-sur-Creuse 36200;  460
Arles 13200; 6 850
Armentières 59280; 3 130
Arnage 72230;  410
Arnouville 95400; 1 230
Arpajon 91290; 1 120
Arpajon-sur-Cère 15130;  320
Arques 62510;  940
Arradon 56610;  320
Arras 62000; 4 920
Artigues-près-Bordeaux 33370;  800
Asnières-sur-Seine 92600; 8 310
Athis-Mons 91200; 3 300
Aubagne 13400; 4 830
Aubenas 07200; 1 660
Aubergenville 78410; 1 250
Aubervilliers 93300; 10 840
Aubevoye 27940;  460
Aubière 63170;  730
Aubignan 84810;  630
Aubigny-Les Clouzeaux 85430;  520
Aubigny-sur-Nère 18700;  450
Auby 59950; 1 060
Aucamville 31140; 1 110
Auch 32000; 2 010
Auchel 62260; 1 230
Audenge 33980;  830
Audincourt 25400; 1 870
Audruicq 62370;  450
Audun-le-Tiche 57390;  460
Aulnay-sous-Bois 93600; 8 910
Aulnoye-Aymeries 59620; 1 210
Aulnoy-lez-Valenciennes 59300;  780
Auneau-Bleury-Saint-Symphorien 28700;  440
Auray 56400; 1 440
Aurec-sur-Loire 43110;  420
Aureilhan 65800;  720
Aurillac 15000; 2 040
Auriol 13390; 1 000
Aussillon 81200;  530
Aussonne 31840;  680
Auterive 31190; 1 030
Autun 71400; 1 410
Auvers-sur-Oise 95430;  420
Auxerre 89000; 3 630
Auxonne 21130;  640
Avallon 89200;  650
Avignon 84000; 15 370
Avion 62210; 1 940
Avon 77210; 1 250
Avranches 50300;  930
Avrillé 49240; 1 160
Aÿ-Champagne 51160;  390
Aytré 17440; 1 000
Bagnères-de-Bigorre 65200;  780
Bagneux 92220; 4 610
Bagnolet 93170; 5 150
Bagnols-sur-Cèze 30200; 2 230
Baie-Mahault 97122; 3 820
Baillargues 34670;  810
Bailleul 59270; 1 050
Baillif 97123;  790
Bailly-Romainvilliers 77700;  520
Bain-de-Bretagne 35470;  590
Baisieux 59780;  300
Balaruc-les-Bains 34540;  710
Ballancourt-sur-Essonne 91610;  470
Ballan-Miré 37510;  550
Balma 31130; 1 380
Bandol 83150;  760
Bannalec 29380;  520
Barberaz 73000;  450
Barentin 76360; 1 040
Bar-le-Duc 55000; 1 550
Barlin 62620;  810
Barr 67140;  620
Bar-sur-Aube 10200;  540
Basse-Goulaine 44115;  530
Bassens 33530; 1 050
Bassens 73000;  380
Basse-Terre 97100; 1 550
Bastia 20200; 2 610
Baud 56150;  460
Baugé-en-Anjou 49150; 1 030
Baume-les-Dames 25110;  400
Bauvin 59221;  460
Bayeux 14400; 1 230
Bayonne 64100; 5 730
Bazas 33430;  470
Beaucaire 30300; 3 220
Beauchamp 95250;  700
Beaucourt 90500;  450
Beaucouzé 49070;  370
Beaufort-en-Vallée 49250;  620
Beaugency 45190;  830
Beaumont 63110;  830
Beaumont-sur-Oise 95260;  940
Beaune 21200; 1 670
Beaupréau 49600; 1 640
Beaurains 62217;  470
Beaurepaire 38270;  480
Beausoleil 06240;  910
Beauvais 60000; 6 930
Beauvoisin 30640;  590
Beauzelle 31700;  840
Bédarieux 34600;  640
Bédarrides 84370;  580
Bègles 33130; 3 600
Behren-lès-Forbach 57460;  880
Belfort 90000; 5 840
Belin-Béliet 33830;  610
Bellegarde 30127;  810
Bellegarde-sur-Valserine 01200; 1 890
Bellerive-sur-Allier 03700;  730
Bellevigne-en-Layon 49380;  440
Bellevigny 85170;  410
Belleville 69220; 1 220
Belley 01300;  830
Benfeld 67230;  530
Berck 62600; 1 350
Bergerac 24100; 3 300
Bernay 27300; 1 050
Berre-l'Étang 13130; 1 650
Besançon 25000; 11 910
Bessan 34550;  650
Bessancourt 95550;  670
Bétheny 51450;  490
Bethoncourt 25200;  720
Béthune 62400; 3 040
Betton 35830; 1 010
Beuvrages 59192; 1 030
Beuvry 62660;  830
Beynes 78650;  420
Béziers 34500; 11 770
Bezons 95870; 3 510
Biarritz 64200; 2 580
Bidart 64210;  800
Biganos 33380;  900
Biguglia 20620;  500
Bihorel 76420;  640
Billère 64140; 1 550
Billy-Berclau 62138;  380
Billy-Montigny 62420;  910
Binic-Étables-sur-Mer 22680;  520
Biot 06410;  710
Biscarrosse 40600; 1 720
Bischheim 67800; 2 130
Bischwiller 67240; 1 350
